sample_id,a_d1_mean,a_d1_sd,a_d2_mean,a_d2_sd,a_d3_mean,a_d3_sd,a_d4_mean,a_d4_sd,d_mean,raw_p
1,0.4151105582714081,0.6484808921813965,0.42348596453666687,0.5757228136062622,0.01769130490720272,0.5914521813392639,-1.2777937650680542,0.6216690540313721,4.418187141418457,0.9833333333333333
2,-0.7998177409172058,0.34247851371765137,-0.9859046339988708,0.3567730486392975,1.0290488004684448,0.32383739948272705,-2.606926441192627,0.43114805221557617,1.0784848928451538,0.7083333333333334
5,0.3100951313972473,0.42283499240875244,0.8025712966918945,0.37782660126686096,0.7752211093902588,0.40187379717826843,-4.207698822021484,0.5711272954940796,2.1551318168640137,0.8
6,-1.141308307647705,0.4000770151615143,0.8217085599899292,0.37570875883102417,-0.3807080090045929,0.38661423325538635,-4.970507621765137,0.7114340662956238,0.2982722222805023,0.6583333333333333
8,-0.03387118875980377,0.6824454665184021,-0.30933791399002075,0.6151391267776489,0.23094069957733154,0.6129186749458313,-0.9741049408912659,0.6646055579185486,4.8639397621154785,0.9916666666666667
9,-0.17638437449932098,0.2721639573574066,-0.9195810556411743,0.2850571870803833,-0.867504358291626,0.2937238812446594,-1.046957015991211,0.27519649267196655,1.0327690839767456,0.725
12,0.1120014414191246,0.650300920009613,-0.6340553760528564,0.5466133952140808,0.8673477172851562,0.560335099697113,-1.2054756879806519,0.6074337363243103,4.729439735412598,0.9833333333333333
14,-1.4543248414993286,0.3547739088535309,0.8284210562705994,0.3559183180332184,-1.9237687587738037,0.35203200578689575,2.10837721824646,0.279127299785614,2.946895122528076,0.7333333333333333
16,0.7378876209259033,0.3828667402267456,-1.1796644926071167,0.35625550150871277,1.6189478635787964,0.32724529504776,-0.8997859358787537,0.3629876673221588,2.896563768386841,0.8833333333333333
19,-0.2090315818786621,0.3451637327671051,-0.8399655222892761,0.34132182598114014,0.3564996123313904,0.33218955993652344,-2.3290669918060303,0.4352366626262665,1.6434063911437988,0.7916666666666666
20,-0.7272922992706299,0.2557670474052429,-0.43327200412750244,0.2543179392814636,-0.5090585350990295,0.26077166199684143,-1.0280029773712158,0.2625887095928192,0.7883154153823853,0.6916666666666667
22,-0.5409383773803711,0.2976122200489044,-0.5692733526229858,0.28550490736961365,-0.023654786869883537,0.2584037184715271,-0.4792134761810303,0.23258355259895325,-1.7895961999893188,0.19166666666666668
23,0.9960436820983887,0.5618269443511963,0.9173251390457153,0.5025686025619507,-0.3241947889328003,0.5036529302597046,-0.6129325032234192,0.5554405450820923,4.084920406341553,0.975
24,1.154909610748291,0.5213921666145325,-0.7583678960800171,0.45143261551856995,-2.6140968799591064,0.477070152759552,-1.8121217489242554,0.5316630601882935,3.953221082687378,0.9083333333333333
25,-0.841703474521637,0.3696056306362152,0.3578987717628479,0.34752097725868225,1.3912982940673828,0.3284605145454407,-3.3895180225372314,0.47084251046180725,0.4918088912963867,0.6583333333333333
26,-0.3243480920791626,0.396472692489624,-0.17374472320079803,0.3805623948574066,0.7123446464538574,0.3852139711380005,-4.300178527832031,0.7001720070838928,0.5747846364974976,0.6833333333333333
28,0.04372469335794449,0.6668963432312012,1.3769768476486206,0.534148097038269,-0.8906811475753784,0.5723026394844055,-0.5047791600227356,0.6439840793609619,4.929998874664307,0.9833333333333333
29,1.4108036756515503,0.39162564277648926,1.5696005821228027,0.36822211742401123,-2.0727782249450684,0.3969637155532837,-2.558206558227539,0.43081557750701904,1.1607773303985596,0.7583333333333333
30,0.5395202040672302,0.26925593614578247,0.026514075696468353,0.26541346311569214,-1.7980754375457764,0.31602412462234497,0.5548087358474731,0.23115353286266327,-0.0873844102025032,0.48333333333333334
32,0.8272502422332764,0.6520190834999084,-0.18130376935005188,0.6217330694198608,-0.5474245548248291,0.6086292862892151,-0.45645663142204285,0.6395842432975769,4.841339111328125,0.9916666666666667
34,0.8134644031524658,0.40984269976615906,0.6952294707298279,0.37613895535469055,0.7543401718139648,0.34744372963905334,-0.940009355545044,0.390861839056015,2.743515729904175,0.9166666666666666
35,-1.4353755712509155,0.38452887535095215,-0.07284371554851532,0.4191630780696869,-1.2461678981781006,0.4346145689487457,-1.6904313564300537,0.45324739813804626,3.779226541519165,0.925
36,1.1928331851959229,0.536306619644165,0.27427706122398376,0.5271817445755005,-0.45437362790107727,0.5058540105819702,-0.4574298858642578,0.5360437631607056,4.04110860824585,0.975
38,1.139929175376892,0.5886421799659729,0.3456721603870392,0.487400621175766,-1.1731610298156738,0.5376063585281372,-3.06147837638855,0.5610506534576416,4.298152923583984,0.9416666666666667
39,0.115410216152668,0.3060899078845978,-2.7380216121673584,0.4439540505409241,-1.3345164060592651,0.3339953124523163,0.06493496894836426,0.26633772253990173,0.09373489022254944,0.49166666666666664
