step,loss
0,7748.830078125
1,7654.40869140625
2,7606.89990234375
3,7511.580078125
4,7502.33203125
5,7368.76025390625
6,7249.5087890625
7,7102.9541015625
8,7167.6953125
9,7005.8935546875
10,6932.5380859375
11,6956.4814453125
12,6862.07958984375
13,6731.0087890625
14,6725.97265625
15,6620.28271484375
16,6515.20849609375
17,6506.72509765625
18,6511.630859375
19,6473.3154296875
20,6349.57373046875
21,6273.0888671875
22,6253.4189453125
23,6138.88623046875
24,6165.9453125
25,6030.859375
26,5998.0400390625
27,5961.939453125
28,5922.376953125
29,5865.591796875
30,5762.275390625
31,5756.15625
32,5656.61962890625
33,5680.16357421875
34,5659.0791015625
35,5492.052734375
36,5469.61474609375
37,5416.3330078125
38,5437.4990234375
39,5311.1943359375
40,5324.84130859375
41,5313.8916015625
42,5191.31005859375
43,5196.0947265625
44,5168.23388671875
45,5097.634765625
46,5061.62646484375
47,5047.5849609375
48,5030.7255859375
49,4981.81787109375
50,4952.75244140625
51,4888.6591796875
52,4795.16015625
53,4799.521484375
54,4799.876953125
55,4823.5283203125
56,4710.84765625
57,4748.75927734375
58,4664.2177734375
59,4697.6962890625
60,4611.9287109375
61,4571.578125
62,4529.17578125
63,4524.82958984375
64,4493.466796875
65,4502.9853515625
66,4423.630859375
67,4425.720703125
68,4360.27734375
69,4362.4111328125
70,4407.8857421875
71,4292.61279296875
72,4298.380859375
73,4294.87451171875
74,4205.83154296875
75,4225.69921875
76,4164.55322265625
77,4118.818359375
78,4156.72314453125
79,4152.373046875
80,4057.52734375
81,4012.404296875
82,4080.56298828125
83,4010.810546875
84,3975.2880859375
85,3965.40478515625
86,3930.23779296875
87,3916.5986328125
88,3883.410888671875
89,3839.8828125
90,3835.15576171875
91,3823.370361328125
92,3831.994140625
93,3741.64111328125
94,3730.11328125
95,3755.58447265625
96,3723.6640625
97,3706.7919921875
98,3654.6171875
99,3655.993408203125
100,3637.540771484375
101,3630.82763671875
102,3599.212890625
103,3598.181640625
104,3578.737060546875
105,3553.8681640625
106,3529.205322265625
107,3480.73583984375
108,3505.60888671875
109,3430.894775390625
110,3376.821044921875
111,3409.807861328125
112,3449.28662109375
113,3403.80078125
114,3396.0400390625
115,3386.953857421875
116,3367.27685546875
117,3294.80322265625
118,3241.775146484375
119,3271.734375
120,3230.25439453125
121,3228.72607421875
122,3271.96240234375
123,3210.588623046875
124,3233.453125
125,3184.45556640625
126,3198.557861328125
127,3120.701416015625
128,3184.44580078125
129,3115.6748046875
130,3115.47705078125
131,3069.07763671875
132,3113.0546875
133,3035.523193359375
134,3005.6240234375
135,3037.24072265625
136,3013.244140625
137,3005.24462890625
138,3016.451416015625
139,2994.103759765625
140,2968.09716796875
141,2938.3671875
142,2953.140869140625
143,2927.9189453125
144,2892.5673828125
145,2851.3232421875
146,2881.95703125
147,2875.471923828125
148,2876.556396484375
149,2857.89453125
150,2814.02392578125
151,2790.82568359375
152,2820.2392578125
153,2794.54736328125
154,2770.842041015625
155,2706.9326171875
156,2758.987060546875
157,2719.046875
158,2763.026123046875
159,2745.2158203125
160,2708.306640625
161,2727.910400390625
162,2699.418212890625
163,2696.277099609375
164,2639.571533203125
165,2650.5673828125
166,2635.917724609375
167,2613.83984375
168,2579.38330078125
169,2613.345947265625
170,2593.2041015625
171,2591.371337890625
172,2561.55810546875
173,2515.8544921875
174,2517.322509765625
175,2542.103271484375
176,2525.6669921875
177,2509.17529296875
178,2489.79296875
179,2495.194091796875
180,2462.3916015625
181,2527.797607421875
182,2506.843505859375
183,2491.16650390625
184,2455.176513671875
185,2437.695068359375
186,2413.26025390625
187,2409.0166015625
188,2426.107421875
189,2417.268798828125
190,2385.28076171875
191,2369.85595703125
192,2407.443359375
193,2373.97119140625
194,2373.35888671875
195,2335.59619140625
196,2366.5400390625
197,2344.383544921875
198,2302.904541015625
199,2347.046875
200,2343.4326171875
201,2337.932861328125
202,2325.09716796875
203,2323.462890625
204,2319.36669921875
205,2296.3798828125
206,2309.3623046875
207,2310.625732421875
208,2287.48193359375
209,2257.7373046875
210,2266.896484375
211,2291.55322265625
212,2239.90380859375
213,2243.331787109375
214,2232.70361328125
215,2250.934326171875
216,2247.1953125
217,2250.25
218,2200.7626953125
219,2229.43310546875
220,2220.169921875
221,2191.09716796875
222,2203.60400390625
223,2217.56884765625
224,2212.859619140625
225,2167.73779296875
226,2200.000732421875
227,2199.748046875
228,2194.01220703125
229,2145.61279296875
230,2157.780517578125
